Número de comprobante,Aciertos,Acreditado,Detalles,Diagnóstico
9672,32,,,
9674,48,,,
9675,48,,,
9676,64,,,
9677,,N,,
9682,64,,,
9683,36,,,
9687,,N,,
9693,108,S,,
9709,97,S,,
9710,87,,,
9718,32,,,
9722,59,,,
9731,38,,,
9740,100,S,Cita para entregar documentación.,
9744,64,,,
9748,79,,,
9768,46,,,
9776,49,,,
9779,56,,,
9791,63,,,
9799,65,,,
9800,37,,,
9803,41,,,
9811,48,,,
9814,,N,,
9831,44,,,
9845,,N,,
9850,39,,,
9885,28,,,
9896,29,,,
9918,83,,,
9919,,N,,
9920,44,,,
9932,56,,,
9938,49,,,
9959,48,,,
9962,35,,,
9973,,N,,
9988,39,,,
9995,33,,,
10003,51,,,
10008,52,,,
10014,42,,,
10021,,N,,
10037,52,,,
10039,72,,,
10046,65,,,
10051,89,,,
10054,82,,,
10069,66,,,
10072,34,,,
10075,78,,,
10106,40,,,
10108,39,,,
10114,82,,,
10119,75,,,
10120,44,,,
10127,113,S,Cita para entregar documentación.,
10129,90,,,
10142,33,,,
10152,75,,,
10158,,N,,
10161,36,,,
10175,70,,,
10179,65,,,
10197,55,,,
10198,38,,,
10212,41,,,
10217,74,,,
10220,43,,,
10245,78,,,
10252,53,,,
10263,39,,,
10265,77,,,
10273,,N,,
10275,42,,,
10278,84,,,
10284,63,,,
10296,69,,,
10298,,N,,
10311,90,,,
10314,34,,,
10326,51,,,
10332,97,S,,
10336,104,S,,
10337,,N,,
10344,57,,,
10352,46,,,
10358,48,,,
10360,63,,,
10375,77,,,
10380,102,S,,
10383,54,,,
10389,45,,,
10390,98,S,Cita para entregar documentación.,
10394,45,,,
10400,58,,,
10402,36,,,
10403,74,,,
10405,54,,,
10416,47,,,
10417,51,,,
10423,36,,,
10426,36,,,
10435,62,,,
10436,67,,,
10438,104,S,Cita para entregar documentación.,
10441,47,,,
10443,30,,,
10444,,N,,
10446,72,,,
10450,49,,,
10456,34,,,
10458,48,,,
10468,38,,,
10469,67,,,
10473,76,,,
10479,74,,,
10483,38,,,
10486,49,,,
10492,92,,,
10493,81,,,
10497,79,,,
10500,,N,,
10503,43,,,
10508,,N,,
10509,31,,,
10517,68,,,
10518,33,,,
10534,79,,,
10535,102,S,,
10538,54,,,
10543,36,,,
10545,35,,,
10546,87,,,
10548,53,,,
10552,65,,,
10554,43,,,
10558,31,,,
10564,54,,,
10566,30,,,
10584,47,,,
10589,59,,,
10592,29,,,
10595,31,,,
10602,81,,,
10603,52,,,
10610,50,,,
10612,49,,,
10622,78,,,
10623,40,,,
10624,52,,,
10625,74,,,
10630,,N,,
10637,48,,,
10641,,N,,
10646,43,,,
10651,,N,,
10652,77,,,
10653,96,S,Cita para entregar documentación.,
10661,62,,,
10667,58,,,
10668,25,,,
10679,58,,,
10683,55,,,
10687,63,,,
10698,58,,,
10699,67,,,
10702,35,,,
10703,45,,,
10704,50,,,
10705,43,,,
10714,,N,,
10715,36,,,
10718,92,,,
10721,83,,,
10728,35,,,
10731,40,,,
10733,,N,,
10740,52,,,
10744,,N,,
10753,27,,,
10774,35,,,
10778,82,,,
10780,44,,,
10781,60,,,
10782,69,,,
10793,50,,,
10798,74,,,
10799,48,,,
10802,71,,,
10804,56,,,
