Número de comprobante,Aciertos,Acreditado,Detalles,Diagnóstico
23527,51,,,
23559,56,,,
23560,88,,,
23580,47,,,
23588,56,,,
23596,46,,,
23598,31,,,
23601,47,,,
23620,49,,,
23633,,N,,
23645,,N,,
23662,73,,,
23680,33,,,
23681,50,,,
23683,73,,,
23684,73,,,
23686,66,,,
23688,71,,,
23720,29,,,
23736,50,,,
23740,,N,,
23750,81,,,
23756,45,,,
23765,,N,,
23787,65,,,
23800,61,,,
23822,32,,,
23847,54,,,
23867,,N,,
23874,41,,,
23884,75,,,
23896,,N,,
23901,37,,,
23917,63,,,
23921,,N,,
23922,88,,,
23927,70,,,
23930,39,,,
23937,76,,,
23949,47,,,
23972,54,,,
23974,44,,,
23980,55,,,
23989,82,,,
23991,33,,,
23997,83,,,
24004,45,,,
24009,84,,,
24014,93,,,
24021,57,,,
24023,62,,,
24032,51,,,
24035,99,S,,
24037,97,S,,
24040,43,,,
24043,91,,,
24046,91,,,
24049,63,,,
24056,40,,,
24061,55,,,
24071,31,,,
24076,31,,,
24081,46,,,
24085,60,,,
24087,92,,,
24091,36,,,
24092,,C,,
24098,,N,,
24105,,N,,
24106,55,,,
24109,40,,,
24115,87,,,
24116,57,,,
24121,76,,,
24123,75,,,
24124,57,,,
24125,42,,,
24135,97,S,,
24137,101,S,Cita para entregar documentación.,
24140,54,,,
24141,53,,,
24146,81,,,
24171,68,,,
24173,98,S,,
24177,49,,,
24178,58,,,
24182,86,,,
24192,,N,,
24195,53,,,
24202,,N,,
24204,38,,,
24216,99,S,,
24248,65,,,
24253,46,,,
24261,42,,,
24269,49,,,
24271,99,S,Cita para entregar documentación.,
24275,44,,,
24276,44,,,
24277,90,,,
24282,,N,,
24295,38,,,
24301,,N,,
24308,80,,,
24314,43,,,
24315,67,,,
24316,82,,,
24321,68,,,
24327,36,,,
24328,47,,,
24332,52,,,
24334,92,,,
24335,72,,,
24339,71,,,
24342,63,,,
24347,51,,,
24348,,N,,
24351,46,,,
24352,46,,,
24353,67,,,
24354,40,,,
24361,46,,,
24362,42,,,
24366,41,,,
24376,81,,,
24386,39,,,
24391,28,,,
24395,,N,,
24398,43,,,
24399,78,,,
24402,48,,,
24403,54,,,
24411,45,,,
24421,49,,,
24424,41,,,
24428,48,,,
24436,41,,,
24437,33,,,
24439,31,,,
24456,77,,,
24462,54,,,
24463,93,,,
24464,34,,,
24470,87,,,
24478,49,,,
24488,33,,,
24495,43,,,
24500,58,,,
24503,58,,,
24507,79,,,
24512,,N,,
24515,88,,,
24517,44,,,
24521,39,,,
24522,46,,,
24524,91,,,
24529,66,,,
24532,35,,,
24533,,N,,
24536,,N,,
24540,66,,,
24542,37,,,
24545,69,,,
24549,43,,,
24550,46,,,
24555,40,,,
24570,39,,,
24574,36,,,
24591,54,,,
24593,80,,,
24601,45,,,
24610,,N,,
24617,51,,,
24621,47,,,
24623,38,,,
24624,67,,,
24626,51,,,
24627,30,,,
24631,106,S,Cita para entregar documentación.,
24637,32,,,
24643,103,S,Cita para entregar documentación.,
24644,65,,,
24646,26,,,
24652,32,,,
24653,41,,,
24655,31,,,
24657,67,,,
24660,56,,,
24670,63,,,
24679,40,,,
24685,31,,,
24688,68,,,
24690,68,,,
24693,41,,,
24709,62,,,
24726,105,S,Cita para entregar documentación.,
24728,65,,,
24733,31,,,
24738,83,,,
24745,76,,,
24750,,N,,
24751,78,,,
24755,92,,,
24759,51,,,
24761,57,,,
24766,83,,,
24767,56,,,
24780,48,,,
24785,41,,,
24792,39,,,
24793,46,,,
24797,50,,,
24806,96,S,Cita para entregar documentación.,
24812,45,,,
24813,30,,,
24818,32,,,
24820,46,,,
24822,55,,,
24824,72,,,
24831,46,,,
24832,,N,,
24844,47,,,
24845,49,,,
24846,73,,,
24849,36,,,
24853,,N,,
24863,72,,,
24872,46,,,
24875,59,,,
24876,78,,,
24878,55,,,
24879,61,,,
24882,48,,,
24886,,N,,
24893,,N,,
24894,45,,,
24898,34,,,
24901,36,,,
24902,,N,,
24903,39,,,
24904,80,,,
24905,68,,,
24914,49,,,
24917,35,,,
24918,62,,,
24925,27,,,
24931,38,,,
24935,39,,,
24941,55,,,
24948,53,,,
24949,51,,,
24950,32,,,
24957,,N,,
24959,78,,,
24961,39,,,
24963,84,,,
24967,56,,,
24969,33,,,
24977,54,,,
24978,55,,,
24989,35,,,
24997,51,,,
25000,68,,,
25001,51,,,
25002,32,,,
25007,85,,,
25009,37,,,
25013,25,,,
25014,42,,,
25016,,N,,
25017,69,,,
25018,44,,,
25020,43,,,
25042,90,,,
25044,58,,,
25046,62,,,
25049,,N,,
25050,40,,,
25052,38,,,
25065,47,,,
25068,45,,,
25071,64,,,
25075,53,,,
25077,41,,,
25082,45,,,
25092,35,,,
25095,45,,,
25104,31,,,
25115,59,,,
25116,43,,,
25119,22,,,
25120,54,,,
25137,36,,,
25149,,N,,
25152,35,,,
25159,61,,,
25162,99,S,Cita para entregar documentación.,
25170,58,,,
25174,53,,,
25178,51,,,
25183,85,,,
25184,51,,,
25186,73,,,
25187,39,,,
25192,57,,,
25193,40,,,
25203,52,,,
25206,46,,,
25207,38,,,
25209,94,,,
25215,50,,,
25226,61,,,
25235,35,,,
25244,55,,,
25247,,N,,
25251,74,,,
25254,95,,,
25256,54,,,
25265,45,,,
25267,47,,,
25270,96,S,,
25271,,N,,
25272,70,,,
25274,64,,,
25278,36,,,
25280,46,,,
25284,105,S,,
25286,43,,,
25287,62,,,
25296,74,,,
25298,56,,,
25306,,N,,
25317,39,,,
25319,47,,,
25320,67,,,
25323,37,,,
25331,39,,,
25347,95,,,
25354,62,,,
25355,46,,,
25358,49,,,
25361,70,,,
25368,19,,,
25372,40,,,
25373,59,,,
25375,55,,,
25377,90,,,
25378,94,,,
25383,41,,,
25386,66,,,
25391,75,,,
25399,39,,,
25403,56,,,
25407,66,,,
25414,44,,,
25417,69,,,
25420,86,,,
25422,71,,,
25423,92,,,
25426,33,,,
25434,63,,,
25437,79,,,
25438,82,,,
25440,44,,,
25443,43,,,
25444,39,,,
25461,45,,,
25463,32,,,
25465,33,,,
25467,57,,,
25472,47,,,
25478,62,,,
25483,52,,,
25486,36,,,
25488,,N,,
25490,61,,,
25492,47,,,
25504,39,,,
25516,42,,,
25519,73,,,
25529,45,,,
25530,98,S,,
25532,30,,,
25534,38,,,
25536,,N,,
25538,68,,,
25541,79,,,
25549,59,,,
25550,63,,,
25551,57,,,
25561,38,,,
25573,31,,,
25579,54,,,
25580,48,,,
25583,50,,,
25597,40,,,
25598,83,,,
25619,89,,,
25622,40,,,
25623,77,,,
25628,65,,,
25629,57,,,
25633,23,,,
25641,94,,,
25651,54,,,
25654,49,,,
25657,49,,,
25658,33,,,
25660,46,,,
25662,,N,,
25664,31,,,
25671,41,,,
25673,52,,,
25676,38,,,
25684,77,,,
25686,53,,,
25700,54,,,
25702,48,,,
25705,36,,,
25706,34,,,
25707,61,,,
25708,57,,,
25721,65,,,
25725,55,,,
25731,75,,,
25732,35,,,
25733,82,,,
25734,49,,,
25739,55,,,
25744,65,,,
25751,42,,,
25756,39,,,
25761,,N,,
25764,31,,,
25766,39,,,
25771,74,,,
25781,99,S,Cita para entregar documentación.,
25783,50,,,
25786,30,,,
25790,56,,,
25795,,N,,
25796,39,,,
25800,60,,,
25802,46,,,
25806,51,,,
25810,102,S,Cita para entregar documentación.,
25811,44,,,
25817,31,,,
25827,84,,,
25832,36,,,
25837,54,,,
25839,,N,,
25840,77,,,
25842,103,S,Cita para entregar documentación.,
25843,71,,,
25844,74,,,
25846,61,,,
25849,33,,,
25850,41,,,
25853,,N,,
25864,73,,,
25866,31,,,
25878,70,,,
25879,37,,,
25882,61,,,
25898,43,,,
25900,72,,,
25907,49,,,
25911,55,,,
25924,65,,,
25927,31,,,
25935,44,,,
25945,42,,,
25951,,N,,
25952,78,,,
25954,,N,,
25955,23,,,
25959,73,,,
25964,55,,,
25974,55,,,
25975,63,,,
25995,34,,,
25998,32,,,
26000,56,,,
26003,62,,,
26007,37,,,
26008,57,,,
26014,58,,,
26016,95,,,
26033,29,,,
26040,65,,,
26052,57,,,
26061,49,,,
26073,71,,,
26077,41,,,
26080,49,,,
26087,96,S,,
26114,48,,,
26117,46,,,
26120,55,,,
26147,45,,,
26150,82,,,
26157,55,,,
26158,53,,,
26161,59,,,
26172,90,,,
26178,52,,,
26185,91,,,
26199,49,,,
26201,33,,,
26202,30,,,
26217,62,,,
26230,60,,,
26241,34,,,
26250,68,,,
26263,72,,,
26274,,N,,
26277,81,,,
26283,,N,,
26294,43,,,
26308,,N,,
26317,94,,,
26321,39,,,
26326,34,,,
26337,55,,,
26339,93,,,
26345,61,,,
26347,44,,,
26355,,N,,
26357,61,,,
26382,46,,,
26391,44,,,
26395,66,,,
26406,55,,,
26409,42,,,
26415,67,,,
26419,,N,,
26429,53,,,
26449,95,,,
26458,,N,,
26462,33,,,
26482,39,,,
26486,36,,,
26487,61,,,
26499,27,,,
26506,55,,,
26508,96,S,Cita para entregar documentación.,
26512,38,,,
26522,57,,,
26525,,N,,
26526,75,,,
26535,65,,,
26541,,N,,
26542,57,,,
26559,35,,,
26569,94,,,
26573,63,,,
26583,60,,,
26601,59,,,
26603,48,,,
26609,87,,,
26611,38,,,
26621,71,,,
26626,69,,,
26635,89,,,
26660,43,,,
26673,79,,,
26677,48,,,
26691,62,,,
26701,44,,,
26707,48,,,
26711,69,,,
26722,50,,,
26724,40,,,
26728,51,,,
26733,65,,,
26735,58,,,
26745,46,,,
26767,,N,,
26773,41,,,
26796,,N,,
26801,56,,,
26820,103,S,,
26824,70,,,
26828,47,,,
26831,42,,,
26835,32,,,
26840,49,,,
26875,40,,,
26900,79,,,
26910,35,,,
26912,36,,,
26918,57,,,
26919,36,,,
26926,44,,,
26934,34,,,
26946,76,,,
26958,47,,,
26970,49,,,
26977,51,,,
26978,,N,,
26984,,N,,
26994,,N,,
26997,40,,,
27011,,N,,
27021,76,,,
27025,,N,,
27026,46,,,
27055,53,,,
27070,84,,,
27074,103,S,Cita para entregar documentación.,
27086,47,,,
27090,45,,,
27093,69,,,
27101,64,,,
27104,37,,,
27105,47,,,
27119,79,,,
27140,72,,,
27148,55,,,
27176,35,,,
27179,63,,,
27180,54,,,
27189,42,,,
27200,,N,,
27204,59,,,
27208,36,,,
27209,50,,,
27217,52,,,
27223,74,,,
27224,100,S,Cita para entregar documentación.,
27242,49,,,
27250,45,,,
27253,50,,,
27255,58,,,
27260,,N,,
27276,92,,,
27280,55,,,
27289,,N,,
27295,39,,,
27312,55,,,
27331,92,,,
27341,59,,,
27347,43,,,
27349,70,,,
27358,58,,,
27369,89,,,
27370,51,,,
27402,39,,,
27408,46,,,
27410,56,,,
27428,25,,,
27430,68,,,
27433,42,,,
27435,,N,,
27443,46,,,
27451,82,,,
27458,41,,,
27459,41,,,
27470,84,,,
27475,44,,,
27484,49,,,
27487,62,,,
27505,62,,,
27515,75,,,
27526,69,,,
27532,72,,,
27558,49,,,
27572,,N,,
27575,74,,,
27576,75,,,
27579,57,,,
27580,80,,,
27581,41,,,
27598,59,,,
27620,58,,,
27631,29,,,
27649,49,,,
27650,69,,,
27664,42,,,
27681,65,,,
27690,56,,,
27701,,N,,
27703,51,,,
27710,64,,,
27714,49,,,
27735,58,,,
27739,86,,,
27757,104,S,,
27758,48,,,
27765,,N,,
27771,94,,,
27777,61,,,
27816,52,,,
27819,57,,,
27821,83,,,
27824,,N,,
27836,60,,,
27849,42,,,
27850,,N,,
27861,62,,,
27864,83,,,
27879,34,,,
27886,41,,,
27892,73,,,
27893,65,,,
27898,85,,,
27904,52,,,
27911,53,,,
27913,,N,,
27919,26,,,
27934,48,,,
27935,83,,,
27947,61,,,
27953,38,,,
27966,51,,,
27967,52,,,
27971,27,,,
27973,71,,,
27976,96,S,Cita para entregar documentación.,
27977,63,,,
27983,,N,,
27993,56,,,
28000,34,,,
28005,35,,,
28006,54,,,
28009,43,,,
28016,49,,,
28026,,N,,
28028,105,S,Cita para entregar documentación.,
28035,48,,,
28036,93,,,
28044,62,,,
28045,46,,,
28077,48,,,
28083,68,,,
28087,47,,,
28090,,N,,
28093,39,,,
28103,56,,,
28106,52,,,
28114,61,,,
28121,43,,,
28131,93,,,
28133,40,,,
28145,49,,,
28156,62,,,
28183,46,,,
28198,75,,,
28203,85,,,
28204,43,,,
28205,,N,,
28207,45,,,
28210,35,,,
28212,98,S,Cita para entregar documentación.,
28214,,N,,
28220,,N,,
28229,,N,,
28232,48,,,
28258,56,,,
28261,56,,,
28276,52,,,
28286,58,,,
28292,44,,,
28301,85,,,
28312,52,,,
28323,38,,,
28325,41,,,
28348,55,,,
28351,39,,,
28352,109,S,Cita para entregar documentación.,
28366,35,,,
28370,,N,,
28373,75,,,
28384,51,,,
28392,49,,,
28393,83,,,
28396,72,,,
28405,58,,,
28414,42,,,
28416,68,,,
28430,38,,,
28432,42,,,
28440,58,,,
28441,85,,,
28448,66,,,
28483,39,,,
28508,31,,,
28520,40,,,
28522,44,,,
28543,33,,,
28544,44,,,
28575,45,,,
28584,53,,,
28626,40,,,
28638,72,,,
28647,41,,,
28667,54,,,
28686,89,,,
28693,71,,,
28717,34,,,
28737,80,,,
28747,85,,,
28773,36,,,
28778,77,,,
28781,,N,,
28801,53,,,
28803,80,,,
28829,49,,,
28833,60,,,
28835,60,,,
28838,41,,,
28840,89,,,
28841,46,,,
28848,39,,,
28872,35,,,
28899,51,,,
28907,40,,,
28914,76,,,
28922,59,,,
28923,38,,,
28929,37,,,
28932,87,,,
28942,47,,,
28953,34,,,
28982,32,,,
28997,88,,,
29006,,N,,
29026,41,,,
29027,70,,,
29034,,N,,
29039,42,,,
29041,62,,,
29056,21,,,
29074,32,,,
29081,31,,,
29088,31,,,
29096,88,,,
29114,88,,,
29127,88,,,
29145,63,,,
29171,50,,,
29191,40,,,
29197,66,,,
29198,62,,,
29227,95,,,
29234,79,,,
29236,38,,,
29242,81,,,
29246,31,,,
29290,,N,,
29298,77,,,
29308,41,,,
29322,34,,,
29327,65,,,
29337,,N,,
29378,66,,,
29380,89,,,
29382,32,,,
29390,92,,,
29395,30,,,
29399,104,S,,
29401,40,,,
29402,108,S,Cita para entregar documentación.,
29414,43,,,
29420,,N,,
29463,74,,,
29467,,N,,
29492,88,,,
29506,69,,,
29507,34,,,
29508,77,,,
29529,59,,,
29530,35,,,
29541,69,,,
29570,34,,,
29576,89,,,
29602,71,,,
29603,95,,,
29618,57,,,
29620,19,,,
29629,57,,,
29631,37,,,
29666,34,,,
29668,54,,,
29674,79,,,
29678,54,,,
29697,52,,,
29710,39,,,
29719,85,,,
29750,59,,,
29765,30,,,
29811,,,Cita para aclarar situación escolar.,
29812,,N,,
29853,68,,,
29855,,N,,
29857,25,,,
29861,39,,,
29864,73,,,
29877,68,,,
29887,76,,,
29935,30,,,
29945,51,,,
29946,37,,,
29948,48,,,
29951,58,,,
29955,43,,,
29963,53,,,
29967,60,,,
29970,43,,,
29972,54,,,
29975,46,,,
29986,95,,,
29987,59,,,
29991,,N,,
29996,52,,,
30000,57,,,
30001,71,,,
30011,87,,,
30012,56,,,
30013,69,,,
30019,67,,,
30031,41,,,
30035,31,,,
30037,57,,,
30038,39,,,
30039,61,,,
30051,33,,,
30052,46,,,
30053,,N,,
30057,37,,,
30059,60,,,
30068,92,,,
30076,77,,,
30078,57,,,
30080,53,,,
30086,91,,,
30088,64,,,
30090,90,,,
30094,33,,,
30099,57,,,
30107,36,,,
30109,100,S,,
30110,54,,,
30122,52,,,
30124,44,,,
30143,39,,,
30144,47,,,
30145,,N,,
30146,30,,,
30153,37,,,
30167,45,,,
30168,,N,,
30170,37,,,
30176,42,,,
30180,,N,,
30187,54,,,
30196,88,,,
30201,54,,,
30202,41,,,
30203,,N,,
30217,33,,,
30219,,N,,
30221,19,,,
30224,,N,,
30229,43,,,
30233,,N,,
30237,42,,,
30238,,N,,
30247,103,S,,
30256,62,,,
30258,51,,,
30259,40,,,
30264,60,,,
30272,40,,,
30288,42,,,
30296,36,,,
30315,70,,,
30319,37,,,
30323,49,,,
30331,53,,,
30335,47,,,
30338,32,,,
30340,65,,,
30341,37,,,
30343,95,,,
30345,40,,,
30353,70,,,
30359,54,,,
30361,66,,,
30362,39,,,
30363,,N,,
30367,47,,,
30376,70,,,
30394,57,,,
30397,40,,,
30403,70,,,
30405,38,,,
30408,,N,,
30414,58,,,
30423,59,,,
30433,47,,,
30436,40,,,
30437,64,,,
30438,42,,,
30441,,N,,
30443,,N,,
30447,53,,,
30459,53,,,
30482,62,,,
30484,,N,,
30487,32,,,
30490,,N,,
30497,90,,,
30498,50,,,
30502,57,,,
30503,101,S,Cita para entregar documentación.,
30504,51,,,
30507,43,,,
30515,50,,,
30527,,N,,
30530,62,,,
30531,49,,,
30536,65,,,
30537,54,,,
30538,40,,,
30549,98,S,,
30550,46,,,
30554,62,,,
30560,,N,,
30561,45,,,
30565,35,,,
30568,55,,,
30575,48,,,
30578,62,,,
30585,47,,,
30586,76,,,
30588,60,,,
30598,36,,,
30604,39,,,
30611,43,,,
30622,,N,,
30623,90,,,
30626,49,,,
30627,72,,,
30635,54,,,
30636,59,,,
30639,39,,,
30656,48,,,
30663,56,,,
30665,38,,,
30669,53,,,
30671,41,,,
30673,45,,,
30676,93,,,
30679,42,,,
30684,60,,,
30689,49,,,
30695,42,,,
30703,,N,,
30704,79,,,
30705,64,,,
30712,67,,,
30719,89,,,
30726,49,,,
30728,37,,,
30729,61,,,
30730,53,,,
30733,87,,,
30734,66,,,
30735,76,,,
30742,55,,,
30753,48,,,
30757,,N,,
30759,61,,,
30773,60,,,
30775,48,,,
30776,,N,,
30786,39,,,
30794,108,S,Cita para entregar documentación.,
30797,,N,,
30799,59,,,
30830,41,,,
30831,69,,,
30832,100,S,Cita para entregar documentación.,
30833,,N,,
30835,54,,,
30840,39,,,
30842,28,,,
30854,78,,,
30864,50,,,
30865,48,,,
30867,45,,,
30871,32,,,
30872,65,,,
30874,,N,,
30880,78,,,
30884,60,,,
30886,54,,,
30892,23,,,
30894,37,,,
30902,,N,,
30907,,N,,
30909,37,,,
30916,38,,,
30917,,N,,
30930,55,,,
30931,51,,,
30934,69,,,
30937,51,,,
30941,32,,,
30943,69,,,
30945,87,,,
30947,51,,,
30957,46,,,
30965,65,,,
30972,73,,,
30976,63,,,
30981,51,,,
30985,46,,,
30988,40,,,
30990,49,,,
31004,36,,,
31008,83,,,
31012,53,,,
31021,31,,,
31030,100,S,Cita para entregar documentación.,
31034,47,,,
31035,83,,,
31036,49,,,
31039,88,,,
31041,74,,,
31043,39,,,
31046,59,,,
31052,48,,,
31060,65,,,
31063,53,,,
31072,,N,,
31078,32,,,
31080,,N,,
31086,105,S,,
31087,33,,,
31091,41,,,
31093,33,,,
31094,39,,,
31096,33,,,
31099,44,,,
31101,,N,,
31107,51,,,
31108,53,,,
31111,34,,,
31113,48,,,
31114,93,,,
31120,61,,,
31127,63,,,
31140,78,,,
31143,64,,,
31145,44,,,
31162,46,,,
31166,69,,,
31175,41,,,
31178,49,,,
31184,39,,,
31190,47,,,
31192,,N,,
31194,62,,,
31203,42,,,
31204,37,,,
31210,40,,,
31213,38,,,
31220,82,,,
31222,64,,,
31235,58,,,
31238,,N,,
31244,47,,,
31245,64,,,
31248,54,,,
31251,44,,,
31252,,N,,
31257,76,,,
31259,69,,,
31265,78,,,
31272,39,,,
31275,,N,,
31277,75,,,
31278,,N,,
31284,42,,,
31285,70,,,
31288,38,,,
31299,25,,,
31303,37,,,
31304,37,,,
31305,76,,,
31306,40,,,
31310,,N,,
31312,32,,,
31317,33,,,
31320,67,,,
31328,52,,,
31329,79,,,
31332,35,,,
31334,31,,,
31338,,N,,
31345,31,,,
31348,50,,,
31352,54,,,
31355,,N,,
31358,69,,,
31361,61,,,
31364,29,,,
31368,28,,,
31371,63,,,
31375,64,,,
31380,41,,,
31382,41,,,
31383,86,,,
31386,100,S,Cita para entregar documentación.,
31390,69,,,
31391,50,,,
31406,62,,,
31409,34,,,
31425,36,,,
31428,,N,,
31431,43,,,
31444,34,,,
31446,40,,,
31450,56,,,
31466,42,,,
31469,53,,,
31473,83,,,
31474,103,S,,
31477,33,,,
31481,108,S,,
31482,77,,,
31485,42,,,
31487,55,,,
31489,45,,,
31497,88,,,
31506,45,,,
31514,30,,,
31517,26,,,
31518,46,,,
31520,33,,,
31521,41,,,
31525,,N,,
31530,78,,,
31533,37,,,
31541,100,S,Cita para entregar documentación.,
31542,,N,,
31554,48,,,
31562,,N,,
31566,54,,,
31567,61,,,
31570,42,,,
31576,98,S,Cita para entregar documentación.,
31578,40,,,
31585,52,,,
31586,36,,,
31592,41,,,
31596,66,,,
31599,56,,,
31601,45,,,
31603,90,,,
31604,67,,,
31611,,N,,
31616,60,,,
31619,,N,,
31625,60,,,
31639,,N,,
31644,,N,,
31646,65,,,
31649,93,,,
31650,,N,,
31651,34,,,
31657,45,,,
31658,50,,,
31660,51,,,
31662,39,,,
31673,48,,,
31679,90,,,
31682,53,,,
31684,52,,,
31686,111,S,Cita para entregar documentación.,
31687,,N,,
31692,57,,,
31695,,N,,
31703,52,,,
31710,67,,,
31723,39,,,
31734,41,,,
31738,,N,,
31744,,N,,
31750,61,,,
31765,,N,,
31775,62,,,
31776,,N,,
31779,62,,,
31780,70,,,
31799,,N,,
31813,,N,,
31819,,N,,
31820,,N,,
31833,106,S,Cita para entregar documentación.,
31841,42,,,
31844,45,,,
31846,27,,,
31867,,N,,
31891,,N,,
31908,39,,,
31929,48,,,
31940,,N,,
31964,64,,,
31989,86,,,
31994,72,,,
31996,30,,,
31999,113,S,Cita para entregar documentación.,
32001,47,,,
32004,,N,,
32010,32,,,
32014,53,,,
32016,64,,,
32018,62,,,
32023,37,,,
32027,45,,,
32036,53,,,
32050,51,,,
32052,,N,,
32053,71,,,
32054,54,,,
32057,96,S,Cita para entregar documentación.,
32073,,N,,
32079,30,,,
32087,,N,,
32089,,N,,
32093,35,,,
32102,36,,,
32109,79,,,
32114,51,,,
32133,,N,,
32143,,N,,
32144,,N,,
32146,,N,,
32150,47,,,
32164,79,,,
32168,,N,,
32175,,N,,
32176,50,,,
32178,51,,,
32199,33,,,
32202,41,,,
32221,65,,,
32235,86,,,
32238,,N,,
32241,,N,,
32246,,N,,
32249,,N,,
32262,33,,,
32267,61,,,
32297,36,,,
32302,,N,,
32307,,N,,
32308,32,,,
32309,,N,,
32312,53,,,
32314,,N,,
32323,52,,,
32329,38,,,
32332,,N,,
32333,,N,,
32334,90,,,
32350,34,,,
32354,82,,,
32355,106,S,Cita para entregar documentación.,
32359,79,,,
32371,65,,,
32375,43,,,
32380,,N,,
32381,,N,,
32385,72,,,
32391,73,,,
32397,76,,,
32398,73,,,
32405,97,S,Cita para entregar documentación.,
32412,88,,,
32418,26,,,
32426,70,,,
32451,,N,,
32455,90,,,
32459,,N,,
32461,49,,,
32466,,N,,
32469,,N,,
32471,80,,,
32476,56,,,
32479,38,,,
32484,,N,,
32488,54,,,
32501,,N,,
32502,97,S,Cita para entregar documentación.,
32505,44,,,
32515,,N,,
32523,47,,,
32528,107,S,Cita para entregar documentación.,
32532,,N,,
32533,,N,,
32535,29,,,
32536,49,,,
32543,,N,,
32547,37,,,
32548,90,,,
32549,57,,,
32550,57,,,
32552,53,,,
32554,101,S,Cita para entregar documentación.,
32561,52,,,
32568,,N,,
32573,51,,,
32590,59,,,
32594,60,,,
32595,58,,,
32596,39,,,
32597,84,,,
32614,91,,,
32615,44,,,
32625,39,,,
32638,,N,,
32640,60,,,
32645,,N,,
32657,37,,,
32672,65,,,
32675,34,,,
32695,105,S,Cita para entregar documentación.,
32699,,N,,
32710,51,,,
32733,27,,,
32734,53,,,
32738,83,,,
32748,27,,,
32752,,N,,
32759,61,,,
32760,44,,,
32762,,N,,
32773,95,,,
32776,56,,,
32781,73,,,
32784,53,,,
32791,,N,,
32796,84,,,
32802,43,,,
32804,81,,,
32810,104,S,Cita para entregar documentación.,
32820,63,,,
32822,57,,,
32823,60,,,
32826,54,,,
32827,44,,,
32842,,N,,
32848,,N,,
32853,53,,,
32857,37,,,
32864,,N,,
32866,78,,,
32881,37,,,
32882,,N,,
32884,,N,,
32893,96,S,Cita para entregar documentación.,
32897,39,,,
32903,46,,,
32909,60,,,
32923,73,,,
32924,79,,,
32925,,N,,
32933,61,,,
32935,,N,,
32942,80,,,
32951,47,,,
32958,,N,,
32968,49,,,
32970,78,,,
32974,,N,,
32975,95,,,
32976,47,,,
32977,73,,,
32979,81,,,
32988,69,,,
32989,,N,,
33001,78,,,
33007,44,,,
33011,32,,,
33012,52,,,
33016,70,,,
33024,32,,,
33031,48,,,
33040,50,,,
33042,92,,,
33043,64,,,
33054,49,,,
33060,,N,,
33061,,N,,
33074,40,,,
33078,88,,,
33081,,N,,
33084,65,,,
33112,,N,,
33113,82,,,
33116,,N,,
33124,71,,,
33130,,N,,
33154,,N,,
33156,40,,,
33162,32,,,
33170,32,,,
33176,,N,,
33178,84,,,
33183,39,,,
33189,96,S,Cita para entregar documentación.,
33192,53,,,
33193,54,,,
33196,75,,,
33201,64,,,
33205,88,,,
33207,65,,,
33210,,N,,
33218,81,,,
33219,28,,,
33227,46,,,
33237,83,,,
33245,40,,,
33247,36,,,
33248,,N,,
33256,40,,,
33258,75,,,
33266,70,,,
33272,64,,,
33273,82,,,
33281,75,,,
33289,108,S,Cita para entregar documentación.,
33297,60,,,
33305,,N,,
33321,71,,,
33337,71,,,
33353,41,,,
33362,,N,,
33364,55,,,
33365,82,,,
33375,65,,,
33391,47,,,
33398,32,,,
33401,70,,,
33417,39,,,
33422,,N,,
33427,,N,,
33435,,N,,
33437,36,,,
33441,42,,,
33450,75,,,
33458,42,,,
33461,52,,,
33473,81,,,
33492,51,,,
33493,,N,,
33494,54,,,
33495,31,,,
33496,,N,,
33501,93,,,
33504,55,,,
33515,51,,,
33518,49,,,
33519,43,,,
33520,45,,,
33523,,N,,
33526,,N,,
33527,,N,,
33543,41,,,
33544,,N,,
33548,105,S,Cita para entregar documentación.,
33558,,N,,
33576,95,,,
33585,,N,,
33586,62,,,
33592,75,,,
33604,,N,,
33630,,N,,
33633,40,,,
33634,53,,,
33635,37,,,
33636,,N,,
33640,69,,,
33646,64,,,
33650,73,,,
33653,,N,,
33660,59,,,
33667,76,,,
33669,44,,,
33673,,N,,
33683,79,,,
33684,67,,,
33685,,N,,
33687,72,,,
33693,56,,,
33702,66,,,
33707,48,,,
33710,44,,,
33715,33,,,
33721,,N,,
33727,,N,,
33734,39,,,
33746,86,,,
33753,,N,,
33762,64,,,
33772,98,S,Cita para entregar documentación.,
33779,,N,,
33799,,N,,
33804,61,,,
33807,67,,,
33809,74,,,
33815,,N,,
33818,84,,,
33819,,N,,
33821,,N,,
33830,40,,,
33840,,N,,
33842,53,,,
33847,69,,,
33849,68,,,
33859,64,,,
33860,71,,,
33871,39,,,
33873,50,,,
33887,52,,,
33888,63,,,
33897,,N,,
33918,72,,,
33922,36,,,
33927,42,,,
33929,62,,,
33930,39,,,
33936,46,,,
33951,,N,,
33959,,N,,
33962,,N,,
33971,50,,,
33989,,N,,
33993,39,,,
33998,63,,,
33999,75,,,
34001,57,,,
34005,101,S,Cita para entregar documentación.,
34021,,N,,
34036,,N,,
34038,53,,,
34040,,N,,
34042,,N,,
34048,,N,,
34052,89,,,
34058,73,,,
34059,62,,,
34060,,N,,
34076,35,,,
34081,,N,,
34086,51,,,
34087,72,,,
34095,94,,,
34096,84,,,
34101,92,,,
34102,,N,,
34109,,N,,
34113,,N,,
34116,,N,,
34118,,N,,
34121,,N,,
34122,37,,,
34123,43,,,
34125,,N,,
34134,40,,,
34140,46,,,
34144,,N,,
34152,,N,,
34166,57,,,
